 05/Mar/2015, 19:23:14:249, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 05/Mar/2015, 19:23:29:325, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 05/Mar/2015, 19:25:39:349, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 05/Mar/2015, 19:26:14:622, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 05/Mar/2015, 19:26:19:458, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 05/Mar/2015, 19:26:22:727, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 05/Mar/2015, 19:26:36:869, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 05/Mar/2015, 19:27:23:175, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 05/Mar/2015, 19:27:36:093, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 05/Mar/2015, 19:27:38:918, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 05/Mar/2015, 19:27:59:536, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 05/Mar/2015, 19:28:48:012, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 05/Mar/2015, 19:28:55:895, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 06/Mar/2015, 12:32:00:207, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 06/Mar/2015, 12:32:18:943, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 06/Mar/2015, 12:32:23:270, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
